EmpID,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,JobFunctionDescription,Performance Score,Current Employee Rating
3439,25-May-22,27-Nov-22,Area Sales Manager,Charles Parks,EW,Active,Full-Time,Zone A,Temporary,Sales,Splicing,Splicer,Fully Meets,3
3440,05-Dec-19,17-Feb-23,Area Sales Manager,Gregory Walker,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,Controller,Fully Meets,3
3441,28-Apr-19,,Area Sales Manager,Tyler Lewis,BPC,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,Lineman,Exceeds,4
3442,09-Jul-19,16-Jun-22,Area Sales Manager,Ashley Scott,PYZ,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,Laborer,Exceeds,2
3443,05-Apr-21,12-May-23,Area Sales Manager,Lauren Jones,WBL,Active,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,Coordinator,Fully Meets,3
3444,28-Nov-21,04-Feb-22,Area Sales Manager,Matthew Jackson,NEL,Active,Contract,Zone A,Part-Time,Sales,Engineers,Director,Fully Meets,3
3445,16-Jan-21,,Area Sales Manager,Michelle Mitchell,PL,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,Supervisor,Exceeds,4
3446,24-Aug-21,,Area Sales Manager,Sydney French,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,Driller,Exceeds,2
3447,26-May-20,18-Jun-23,Area Sales Manager,Michelle Evans MD,CCDR,Future Start,Part-Time,Zone C,Part-Time,Sales,General - Con,Technician,Fully Meets,3
3448,01-Oct-19,06-Nov-20,Area Sales Manager,Patricia Cook,SVG,Future Start,Full-Time,Zone A,Temporary,Sales,Engineers,Specialist,Fully Meets,3
3449,10-May-23,27-May-23,Area Sales Manager,Ashley Reeves,EW,Future Start,Contract,Zone B,Temporary,Sales,General - Eng,Technician,Fully Meets,5
3450,01-Sep-20,04-Dec-22,Area Sales Manager,Stanley Harvey,MSC,Active,Contract,Zone C,Temporary,Sales,Field Operations,Operator,Exceeds,2
3451,18-Feb-21,11-Nov-22,Area Sales Manager,Michael Bradshaw,TNS,Active,Contract,Zone C,Full-Time,Sales,General - Con,Technician,Exceeds,3
3452,08-Nov-22,,Area Sales Manager,Debbie Crosby,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,Foreman,Fully Meets,2
3453,13-Oct-22,,Area Sales Manager,Elizabeth Taylor,WBL,Active,Contract,Zone C,Part-Time,Sales,Fielders,Engineer,Fully Meets,4
3454,11-Sep-22,,Area Sales Manager,Brian Dunlap,PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,Foreman,Needs Improvement,4
3455,29-Jun-21,05-Jul-22,Area Sales Manager,Daniel Rodriguez,WBL,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,Manager,Exceeds,4
3456,06-Mar-23,,Area Sales Manager,Martin Hammond,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,Technician,Fully Meets,3
3457,25-Sep-20,,Area Sales Manager,Sara Bell,PL,Active,Full-Time,Zone B,Temporary,Sales,Engineers,Technician,Needs Improvement,3
3458,28-Apr-22,24-May-23,Area Sales Manager,Elizabeth Anderson,BPC,Future Start,Contract,Zone A,Full-Time,Sales,Field Operations,Laborer,Needs Improvement,3
3459,18-Apr-21,21-Jun-22,Area Sales Manager,Erin Bailey,CCDR,Future Start,Part-Time,Zone A,Full-Time,Sales,General - Con,Splicer,Exceeds,2
3460,19-Feb-20,,Area Sales Manager,Dennis Henderson,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,Lineman,Fully Meets,3
3461,18-Jul-19,01-Oct-21,Area Sales Manager,Tammy Conner,EW,Future Start,Full-Time,Zone C,Part-Time,Sales,General - Con,Foreman,Needs Improvement,1
3462,13-Sep-18,17-Sep-21,Area Sales Manager,Brianna Mathews,MSC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,Coordinator,Needs Improvement,3
3463,30-Apr-20,18-Jul-21,Area Sales Manager,Jessica Peters,TNS,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,Tower Hand,Fully Meets,1
3464,03-Dec-18,09-Sep-22,Area Sales Manager,Mark Harris,PYZ,Active,Contract,Zone B,Full-Time,Sales,Shop (Fleet),Mechanic,Needs Improvement,5
3465,08-Nov-21,,Area Sales Manager,Elizabeth Tapia,WBL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,Flagger,Needs Improvement,3
3466,13-Apr-22,10-Apr-23,Area Sales Manager,Jon Holden,PYZ,Active,Part-Time,Zone C,Full-Time,IT/IS,Aerial,Supervisor,Exceeds,4
3467,06-May-20,,Area Sales Manager,Michael Odonnell,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,Engineer,Exceeds,1
3468,09-Sep-19,,Area Sales Manager,Andres Parker,NEL,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,Foreman,Fully Meets,4
3469,29-Jul-20,05-Jan-23,Area Sales Manager,James Berry,PL,Future Start,Contract,Zone B,Full-Time,Sales,Field Operations,Driver,Needs Improvement,3
3470,14-Nov-18,28-Oct-19,Area Sales Manager,Gail Ali,BPC,Future Start,Contract,Zone C,Part-Time,Sales,Field Operations,Technician,Needs Improvement,3
3471,29-Feb-20,,Area Sales Manager,John Marshall,CCDR,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Foreman,Fully Meets,4
3472,15-Jan-23,,Area Sales Manager,Jessica Chang,SVG,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,Director,Exceeds,4
3473,29-Jun-23,,Area Sales Manager,Desiree Vang,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),Manager,Exceeds,2
3474,09-Mar-20,,Area Sales Manager,Andrew Goodman,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,Laborer,Fully Meets,2
3475,21-Sep-21,13-Apr-23,Area Sales Manager,Rebecca Simpson,TNS,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Foreman,Fully Meets,2
3476,12-Jun-23,06-Jul-23,Area Sales Manager,Samantha Cardenas,PYZ,Active,Part-Time,Zone A,Temporary,Sales,Fielders,Engineer,Needs Improvement,2
3477,07-Apr-19,,Area Sales Manager,Nancy Johnson,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,Laborer,Needs Improvement,2
3478,17-Sep-18,09-Jan-19,Area Sales Manager,Richard Hodges,WBL,Active,Full-Time,Zone C,Temporary,Sales,Wireline Construction,Groundman,Fully Meets,2
3479,02-Aug-22,02-Apr-23,Area Sales Manager,Madison Wilson,NEL,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,Technician,Fully Meets,2
3480,08-Sep-22,16-Oct-22,Area Sales Manager,Eric King,PL,Future Start,Full-Time,Zone C,Temporary,Sales,Catv,Supervisor,Fully Meets,1
3481,07-Mar-19,31-May-21,Area Sales Manager,Brandon Harris,BPC,Future Start,Full-Time,Zone C,Part-Time,Sales,Wireline Construction,Splicer,Fully Meets,4
3482,29-Oct-19,07-Feb-21,Area Sales Manager,Matthew Flores,CCDR,Future Start,Full-Time,Zone A,Temporary,Sales,Catv,Lineman,Needs Improvement,2
3483,26-Sep-21,,Area Sales Manager,Krystal Hamilton,SVG,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,Coordinator,Fully Meets,1
3484,29-Aug-18,,Area Sales Manager,Amber Hernandez,EW,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,Model Assistant,Fully Meets,4
3485,26-Oct-21,,Area Sales Manager,Patricia Smith,MSC,Active,Contract,Zone C,Full-Time,Sales,Field Operations,Laborer,Fully Meets,5
3486,31-Oct-22,08-Jun-23,Area Sales Manager,Victoria Krause,TNS,Active,Part-Time,Zone C,Temporary,Sales,Fielders,Engineer,Fully Meets,4
3487,15-Mar-23,,Area Sales Manager,Jesse Hunt,BPC,Active,Contract,Zone B,Part-Time,Sales,General - Sga,Administrator,Fully Meets,4
3488,09-Sep-22,,Area Sales Manager,Shane Jones,CCDR,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,Lineman,Fully Meets,2
3489,04-Mar-22,,Area Sales Manager,Jessica Murphy,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,Laborer,Fully Meets,2
3490,11-Feb-19,,Area Sales Manager,Crystal Wallace,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,Director,Fully Meets,2
3491,26-Jan-21,,Area Sales Manager,Tina Nelson,NEL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,Driver,Fully Meets,5
3492,26-Nov-19,,Area Sales Manager,Ashley Smith,PL,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,Clerk,Fully Meets,1
3493,15-Jul-19,,Area Sales Manager,Eric Taylor,PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,Project Manager,Fully Meets,5
3494,18-Jun-20,,Area Sales Manager,Jacob Snyder,SVG,Active,Contract,Zone B,Full-Time,Sales,General - Con,Technician,Fully Meets,4
3495,22-Jun-23,22-Jul-23,Area Sales Manager,Daniel Cabrera,TNS,Active,Part-Time,Zone B,Temporary,Sales,Wireline Construction,Laborer,Fully Meets,4
3496,02-Dec-21,,Area Sales Manager,Barbara Garcia,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,Administrator,Fully Meets,5
3497,08-Dec-21,,Area Sales Manager,Kendra Murray,TNS,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,Lineman,Fully Meets,1
3498,26-Apr-23,22-Jun-23,Area Sales Manager,Peter Harvey,PYZ,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,Laborer,Fully Meets,2
3499,25-Sep-18,20-Dec-21,Area Sales Manager,Patrick Daniel,WBL,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Technician,Fully Meets,5
3500,20-Nov-18,21-Jun-20,Area Sales Manager,Bryan Douglas,NEL,Active,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),Mechanic,Fully Meets,1
3501,30-Aug-20,30-Aug-22,Area Sales Manager,Destiny Hopkins,PL,Future Start,Part-Time,Zone A,Part-Time,Sales,General - Con,Technician,Fully Meets,4
3502,01-Oct-19,,Area Sales Manager,Angela Morris,BPC,Active,Full-Time,Zone C,Temporary,Sales,Splicing,Electrician,Fully Meets,1
3503,20-Jan-22,,Area Sales Manager,Erica Franklin,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,Manager,Fully Meets,4
3504,10-Oct-21,,Area Sales Manager,Gabriela Orr,SVG,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,Laborer,Fully Meets,2
3505,29-Aug-20,,Area Sales Manager,Michael Wilkins,EW,Active,Contract,Zone B,Temporary,Sales,Field Operations,Groundman,Fully Meets,1
3506,27-Aug-19,10-May-23,Area Sales Manager,Jordan Vega,MSC,Active,Full-Time,Zone B,Temporary,Sales,Field Operations,Technician,Fully Meets,2
3507,25-Feb-21,07-Apr-23,Area Sales Manager,John Miller,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,Manager,Fully Meets,4
3508,13-Jul-21,,Area Sales Manager,Trevor Adkins,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,Laborer,Fully Meets,5
3509,14-Apr-21,,Area Sales Manager,Marcus Hunt,BPC,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,Project Controls,Fully Meets,2
3510,10-Feb-20,,Area Sales Manager,Jennifer King,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,Laborer,Fully Meets,2
3511,17-Aug-21,31-Dec-21,Area Sales Manager,Shawn Dudley,WBL,Active,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,Director,Fully Meets,4
3512,17-Apr-23,22-Jun-23,Area Sales Manager,Lindsay Chang,NEL,Future Start,Contract,Zone C,Temporary,Sales,Yard (Material Handling),Coordinator,Fully Meets,2
3513,02-Sep-22,24-May-23,Area Sales Manager,Sharon Ruiz,PL,Future Start,Contract,Zone C,Temporary,Sales,General - Con,Laborer,Fully Meets,5
3514,15-Apr-20,,Area Sales Manager,April Randolph,BPC,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,Manager,Fully Meets,1
3515,09-Mar-22,10-Dec-22,Area Sales Manager,Mary Reilly,CCDR,Future Start,Part-Time,Zone A,Part-Time,Sales,Finance & Accounting,Controller,Fully Meets,4
3516,07-Apr-22,22-Jan-23,Area Sales Manager,Eric Goodman,SVG,Active,Contract,Zone B,Part-Time,Sales,Project Management - Con,Coordinator,Fully Meets,5
3517,19-Feb-20,,Area Sales Manager,Caleb Schneider,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,Splicer,Fully Meets,4
3518,10-Apr-21,04-Jul-22,Area Sales Manager,Cheryl Henry,MSC,Active,Contract,Zone B,Part-Time,Sales,General - Eng,Coordinator,Fully Meets,2
3519,19-Dec-21,02-Mar-22,Area Sales Manager,Dan Hernandez,TNS,Active,Part-Time,Zone C,Temporary,Sales,Aerial,Groundman,Fully Meets,2
3520,13-Dec-20,13-Jan-23,Area Sales Manager,Teresa Daniel,TNS,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Con,Manager,Fully Meets,1
3521,26-Feb-19,,Area Sales Manager,Melissa Decker,WBL,Active,Contract,Zone C,Part-Time,Sales,General - Con,Electrician,Fully Meets,4
3522,02-Mar-20,,Area Sales Manager,Michael Nguyen,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,Splicer,Fully Meets,1
3523,25-Jun-21,25-Aug-22,Area Sales Manager,Tony Mcconnell,CCDR,Active,Full-Time,Zone A,Temporary,Sales,General - Con,Laborer,Fully Meets,2
3524,26-Jul-21,04-May-22,Area Sales Manager,Adam Gibson,EW,Future Start,Contract,Zone B,Full-Time,Sales,Field Operations,Laborer,Fully Meets,2
3525,03-Jul-22,10-Jan-23,Area Sales Manager,Stephanie Duke,MSC,Future Start,Contract,Zone B,Temporary,Sales,General - Con,Foreman,Fully Meets,2
3526,15-Sep-22,,Area Sales Manager,Paige Flores MD,NEL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,Foreman,Fully Meets,4
3527,01-May-20,25-Feb-21,Area Sales Manager,Hannah Snyder,PL,Active,Full-Time,Zone B,Temporary,Sales,Aerial,Lineman,Fully Meets,1
3528,13-Oct-22,,Area Sales Manager,William Ayala,PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,Accounting,Fully Meets,2
3529,03-Jan-20,24-Aug-20,Area Sales Manager,Samuel Moore,SVG,Active,Part-Time,Zone C,Full-Time,Sales,Field Operations,Top Hand,Fully Meets,2
3530,13-Nov-19,,Area Sales Manager,Jenna Weaver,TNS,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,Tower Hand,Fully Meets,2
3531,17-Jun-23,,Area Sales Manager,Dylan Blake,WBL,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,Project Manager,Fully Meets,1
3532,14-Oct-21,,Area Sales Manager,Monique Anderson,EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,Technician,Fully Meets,1
3533,01-Jun-21,16-Jul-23,Area Sales Manager,Kelsey Gibson,MSC,Active,Contract,Zone B,Full-Time,Sales,General - Sga,Administrator,Fully Meets,2
3534,14-Sep-18,,Area Sales Manager,Sonia Diaz,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,Engineer,Fully Meets,4
3535,11-Dec-18,02-Jun-22,Area Sales Manager,Brian Morton,PYZ,Active,Full-Time,Zone A,Temporary,Sales,Fielders,Engineer,Fully Meets,4
3536,06-Aug-22,,Area Sales Manager,Thomas Holmes,WBL,Active,Contract,Zone C,Temporary,Sales,General - Sga,Administrative,Fully Meets,2
3537,28-May-22,24-Feb-23,Area Sales Manager,Dawn Perez,NEL,Future Start,Contract,Zone C,Part-Time,Sales,Field Operations,Foreman,Fully Meets,2
3538,16-Jun-19,05-Mar-22,Area Sales Manager,Diane Parker,PL,Future Start,Part-Time,Zone C,Part-Time,Sales,Fielders,Engineer,Fully Meets,2
3539,08-Dec-19,,Area Sales Manager,John Johnson,BPC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Foreman,Fully Meets,5
3540,12-Mar-20,09-Oct-22,Area Sales Manager,Dakota Robinson,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Splicing,Supervisor,Exceeds,4
3541,06-Apr-20,24-Jul-23,Area Sales Manager,Melanie Garcia,SVG,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,Technician,Exceeds,2
3542,15-Apr-23,,Area Sales Manager,Amanda Knight,EW,Active,Contract,Zone A,Temporary,Sales,Field Operations,Manager,Needs Improvement,1
3543,10-Nov-20,,Area Sales Manager,Kimberly Cardenas,MSC,Active,Part-Time,Zone A,Temporary,Sales,General - Con,Laborer,Fully Meets,2
3544,29-Jun-23,09-Jul-23,Area Sales Manager,Laura Salinas,TNS,Active,Contract,Zone A,Temporary,Sales,Aerial,Foreman,Fully Meets,2
3545,07-Mar-22,,Area Sales Manager,Andres Jones,EW,Active,Full-Time,Zone C,Temporary,IT/IS,Field Operations,Locator,Fully Meets,1
3546,31-Jul-21,27-Jan-23,Area Sales Manager,Jeffrey Huffman,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,Foreman,Exceeds,1
3547,20-Jan-22,,Area Sales Manager,Sara Edwards,BPC,Active,Contract,Zone B,Full-Time,Sales,Project Management - Eng,Supervisor,Needs Improvement,2
3548,11-Jul-21,10-Oct-22,Area Sales Manager,Stephen Garcia,WBL,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,Technician,Fully Meets,1
3549,15-Oct-18,18-Oct-20,Area Sales Manager,Tracy Castro MD,TNS,Active,Full-Time,Zone C,Full-Time,Sales,Field Operations,Technician,Fully Meets,2
3550,26-Nov-21,14-Oct-22,Area Sales Manager,Jennifer Hicks,SVG,Future Start,Part-Time,Zone C,Temporary,Sales,Wireline Construction,Billing,Fully Meets,1
3551,11-Aug-18,,Area Sales Manager,Victoria Bailey,PYZ,Active,Part-Time,Zone C,Part-Time,Sales,Engineers,Engineer,Needs Improvement,4
3552,16-Feb-20,03-Jun-20,Area Sales Manager,Maria Chan,PL,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,Foreman,Needs Improvement,1
3553,20-Jan-20,,Area Sales Manager,Regina Martinez,NEL,Active,Contract,Zone C,Temporary,Sales,Field Operations,Foreman,Fully Meets,4
3554,31-Mar-19,,Area Sales Manager,Tonya Martin,MSC,Active,Part-Time,Zone C,Temporary,Sales,People Services,Cpo,Fully Meets,1
3555,06-Jan-23,07-May-23,Area Sales Manager,Daniel Wolf,EW,Active,Full-Time,Zone C,Temporary,Sales,General - Eng,Drafter,Fully Meets,4
3556,18-Jul-19,15-Jan-20,Area Sales Manager,Sarah Petersen,CCDR,Active,Full-Time,Zone B,Temporary,Sales,Wireline Construction,Vp,Exceeds,2
3557,13-Feb-19,,Area Sales Manager,Victoria Christian DDS,BPC,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Operator,Fully Meets,2
3558,30-Dec-18,,Production Technician I,Erin Moore,MSC,Active,Part-Time,Zone A,Part-Time,Production       ,Yard (Material Handling),Manager,Fully Meets,1
3559,06-Nov-19,06-Sep-20,Production Technician I,Andrea Gutierrez,NEL,Active,Part-Time,Zone C,Full-Time,Production       ,Field Operations,Assistant,Fully Meets,2
3560,01-Jun-22,,Production Technician I,Wanda Ross DDS,MSC,Active,Contract,Zone C,Full-Time,Production       ,Field Operations,Technician,Exceeds,4
3561,28-Mar-23,,Production Technician II,Steven King,BPC,Active,Part-Time,Zone C,Temporary,Production       ,General - Con,Technician,Fully Meets,5
3562,21-May-19,05-Jan-23,Production Technician I,Stephen Rodriguez,CCDR,Future Start,Contract,Zone B,Full-Time,Production       ,Shop (Fleet),Manager,Exceeds,2
3563,01-Jan-19,,Production Technician I,Patricia Carter,WBL,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,Driver,PIP,4
3564,26-Jan-19,02-Dec-20,Production Technician II,Diana Johnson,SVG,Voluntarily Terminated,Full-Time,Zone C,Temporary,Production       ,Aerial,Lineman,Fully Meets,1
3565,11-Sep-21,,Production Technician I,Diana Good,WBL,Active,Part-Time,Zone B,Full-Time,Production       ,General - Con,Lineman,Fully Meets,4
3566,26-Sep-21,,Production Technician II,Desiree Stephens,PL,Active,Part-Time,Zone A,Part-Time,Production       ,Aerial,Lineman,Fully Meets,2
3567,04-Mar-23,,Production Technician I,Debra Garcia,EW,Active,Full-Time,Zone C,Full-Time,Production       ,General - Sga,Technician,Fully Meets,4
3568,11-Jul-23,29-Jul-23,Production Technician I,Susan Brown,EW,Voluntarily Terminated,Full-Time,Zone B,Part-Time,Production       ,Field Operations,Foreman,Fully Meets,2
3569,09-Feb-19,28-Aug-20,Production Technician I,Margaret Hampton,MSC,Active,Part-Time,Zone B,Temporary,Production       ,Catv,Supervisor,Fully Meets,2
3570,19-Apr-19,26-Oct-21,Production Technician II,Brandon Miller,TNS,Voluntarily Terminated,Full-Time,Zone B,Temporary,Production       ,Fielders,Engineer,Fully Meets,1
3571,07-Jul-22,17-Jul-23,Production Technician I,Dr. Matthew Schmitt,NEL,Voluntarily Terminated,Part-Time,Zone C,Full-Time,Production       ,Field Operations,Engineer,Fully Meets,4
3572,12-Mar-19,19-May-20,Production Technician I,Shawn Berry,WBL,Active,Contract,Zone A,Part-Time,Production       ,Fielders,Engineer,Fully Meets,5
3573,09-Mar-20,17-Oct-21,Production Technician I,Brittany Martin,NEL,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,Driller,Exceeds,4
3574,18-May-21,04-Jan-22,Production Technician I,Timothy Weaver,WBL,Future Start,Contract,Zone B,Full-Time,Production       ,Underground,Laborer,Fully Meets,1
3575,28-Apr-21,18-Jan-22,Production Technician I,Amanda Smith,MSC,Voluntarily Terminated,Part-Time,Zone A,Temporary,Production       ,Field Operations,Groundman,Exceeds,5
3576,21-Jul-21,26-Apr-23,Production Technician II,Marc Cummings,PL,Active,Full-Time,Zone B,Full-Time,Production       ,Engineers,Project Manager,Exceeds,4
3577,15-Sep-19,,Production Technician I,James Rodriguez,BPC,Active,Part-Time,Zone C,Temporary,Production       ,Field Operations,Tower Hand,Fully Meets,4
3578,04-May-19,,Production Technician I,Elizabeth Sullivan MD,WBL,Active,Full-Time,Zone A,Temporary,Production       ,Field Operations,Technician,Exceeds,2
3579,20-May-21,,Production Technician II,Sean Marsh,BPC,Active,Full-Time,Zone C,Part-Time,Production       ,Field Operations,Laborer,Needs Improvement,4
3580,16-Dec-19,,Production Technician I,Kathryn Wilkinson,PYZ,Active,Full-Time,Zone C,Full-Time,Production       ,Field Operations,Foreman,Fully Meets,4
3581,20-Nov-20,01-May-23,Production Technician I,Paul Walker,SVG,Active,Full-Time,Zone A,Part-Time,Production       ,Wireline Construction,Foreman,Fully Meets,2
3582,19-Aug-20,04-May-22,Production Technician I,Elizabeth Robertson,TNS,Active,Part-Time,Zone B,Part-Time,Production       ,Yard (Material Handling),Laborer,Fully Meets,4
3583,28-Apr-21,18-Apr-22,Production Technician I,Tasha Mayer,WBL,Active,Full-Time,Zone C,Temporary,Production       ,Field Operations,Construction Manager,Needs Improvement,4
3584,14-Aug-20,,Production Technician I,Chris Walker,BPC,Active,Contract,Zone C,Full-Time,Production       ,Field Operations,Lineman,Fully Meets,4
3585,22-Dec-21,,Production Technician I,Traci Floyd,CCDR,Active,Full-Time,Zone A,Full-Time,Production       ,Yard (Material Handling),Laborer,Fully Meets,4
3586,01-Feb-19,10-Feb-19,Production Technician I,Veronica Wiley,EW,Active,Part-Time,Zone B,Full-Time,Production       ,People Services,Manager,Fully Meets,2
3587,10-May-21,17-Dec-21,Production Technician I,Katherine Gay,MSC,Active,Full-Time,Zone B,Temporary,Production       ,General - Eng,Administrative,Fully Meets,2
3588,25-Jun-19,15-Aug-19,Production Technician I,Paul Lopez,NEL,Active,Full-Time,Zone C,Full-Time,Production       ,Shop (Fleet),Mechanic,Fully Meets,2
3589,25-Apr-19,,Production Technician I,Jay Bush,PL,Active,Contract,Zone B,Temporary,Production       ,Field Operations,Laborer,Fully Meets,1
3590,25-Feb-21,13-Oct-22,Production Technician I,Jessica Allen,PYZ,Future Start,Part-Time,Zone C,Full-Time,Production       ,Field Operations,Laborer,Fully Meets,4
3591,23-Nov-21,29-May-23,Production Technician I,Dr. William Thompson,SVG,Future Start,Contract,Zone B,Part-Time,Production       ,Field Operations,Supervisor,Needs Improvement,5
3592,05-Oct-21,18-Jun-22,Production Technician I,Mrs. Audrey Gonzalez DDS,TNS,Future Start,Contract,Zone B,Full-Time,Production       ,Field Operations,Technician,Fully Meets,3
3593,30-May-20,,Production Technician I,Ashley Bradshaw,WBL,Active,Contract,Zone A,Full-Time,Production       ,General - Con,Foreman,Fully Meets,1
3594,11-Dec-18,,Production Technician I,Ashley Meyer,PYZ,Active,Part-Time,Zone B,Part-Time,Production       ,Field Operations,Technician,Needs Improvement,1
3595,22-Sep-20,14-Sep-22,Production Technician I,Nicole Delgado,WBL,Active,Contract,Zone A,Temporary,Production       ,Engineers,Technician,Fully Meets,1
3596,28-Jul-19,,Production Technician I,John Henry,NEL,Active,Part-Time,Zone C,Full-Time,Production       ,Splicing,Technician,Needs Improvement,2
3597,06-Jun-20,14-Apr-21,Production Technician II,Autumn Decker,PYZ,Future Start,Contract,Zone C,Part-Time,Production       ,General - Con,Foreman,Fully Meets,1
