title,author,date
Terran Orbital takes charge after switching propulsion suppliers on satellite program,Jeff Foust,"May 15, 2024"
OneWeb coverage target held up by India regulatory delays,Jason Rainbow,"May 14, 2024"
Tomorrow.io gets DoD contract to launch two microwave weather sensor satellites,Sandra Erwin,"May 14, 2024"
Helium leak delays Starliner crewed test flight,Jeff Foust,"May 14, 2024"
Intuitive Machines making upgrades to second lunar lander,Jeff Foust,"May 14, 2024"
"India plans Chandrayaan-4 moon sample return, will involve private sector",Andrew Jones,"May 14, 2024"
NASA selects proposals for new line of Earth science missions,Jeff Foust,"May 14, 2024"
OHB expects to conclude deal to go private in weeks,Jeff Foust,"May 14, 2024"
Terran Orbital confirms new satellite deal with Lockheed Martin ahead of earnings,Sandra Erwin,"May 13, 2024"
ULA could fly dummy payload on next Vulcan launch if Dream Chaser is delayed,Sandra Erwin,"May 13, 2024"
NASA and JAXA to operate XRISM as-is despite instrument issue,Jeff Foust,"May 13, 2024"
Lunar lander company ispace sees opportunities in Japan-U.S. Artemis agreement,Jeff Foust,"May 11, 2024"
Serbia becomes latest country to join China’s ILRS moon base project,Andrew Jones,"May 10, 2024"
Defense space policy chief calls Russia’s space nuke threat “a thing apart”,Sandra Erwin,"May 10, 2024"
Pentagon space policy chief weighs in on disputes over battlefield intelligence,Sandra Erwin,"May 10, 2024"
FAA to begin environmental review of Starship launches from Kennedy Space Center,Jeff Foust,"May 10, 2024"
Avio leans on defense business amid lull in launches,Jeff Foust,"May 9, 2024"
Livermore Lab to provide optical payload for U.S. Space Force mission,Sandra Erwin,"May 9, 2024"
Starlink soars: SpaceX’s satellite internet surprises analysts with $6.6 billion revenue projection,Sandra Erwin,"May 9, 2024"
Redwire announces second VLEO satellite platform,Jeff Foust,"May 9, 2024"
Sierra Space prepares to ship Dream Chaser to Florida,Jeff Foust,"May 9, 2024"
China launches its first medium Earth orbit broadband satellites,Andrew Jones,"May 9, 2024"
Congressional letter seeks big increase in NASA science budget,Jeff Foust,"May 8, 2024"
Virgin Galactic plans higher mothership flight rate with next-generation spaceplanes,Jeff Foust,"May 8, 2024"
National Space Council will explore military space and intelligence roles and responsibilities,Debra Werner,"May 8, 2024"
NRO outlines plan to onboard commercial satellite imaging technologies,Sandra Erwin,"May 8, 2024"
Join SpaceNews: Exciting Opportunity for Sales & Marketing Manager,SpaceNews Editor,"May 8, 2024"
Military surveillance constellation fuels debate over who calls the shots,Sandra Erwin,"May 8, 2024"
Xona raises $19 million Series A funds for satellite navigation service,Sandra Erwin,"May 8, 2024"
NATO seeks assistance in data exploitation,Debra Werner,"May 8, 2024"
Chang’e-6 enters lunar orbit ahead of far side landing attempt,Andrew Jones,"May 8, 2024"
Starliner launch delayed to mid-May,Jeff Foust,"May 7, 2024"
Privateer acquires Orbital Insight,Debra Werner,"May 7, 2024"
Report recommends major expansion of Florida seaport to support space industry,Jeff Foust,"May 7, 2024"
Rocket Lab pushes back Neutron debut to 2025,Jeff Foust,"May 7, 2024"
U.S. Space Force taps commercial satellites to fill demand for global insights,Sandra Erwin,"May 7, 2024"
SabreSat: Redwire’s vehicle to dart through very low Earth orbit,Debra Werner,"May 7, 2024"
China launches first Long March 6C rocket,Andrew Jones,"May 7, 2024"
Rocket Lab announces supplier agreements for military satellite project,Sandra Erwin,"May 6, 2024"
Rocket issue scrubs launch of Starliner crewed test flight,Jeff Foust,"May 6, 2024"
NGA to tap commercial satellites to patrol maritime hotspots,Sandra Erwin,"May 6, 2024"
Search engine focused on Earth data gets new investors,Sandra Erwin,"May 6, 2024"
Airbus to continue enhancing Pleiades Neo Next constellation,Debra Werner,"May 6, 2024"
‘People are going to try to steal your secrets’ Dixon warns,Debra Werner,"May 6, 2024"
Iceye to allow customers to directly task the company’s imaging satellites,Sandra Erwin,"May 6, 2024"
Capella Space using AI to automate ship identification,Sandra Erwin,"May 6, 2024"
Muon Space and Earth Fire Alliance to build constellation for wildfire detection and response,Sandra Erwin,"May 6, 2024"
Maxar inks agreement with Lockheed Martin to supply imagery for F-35 training simulators,Sandra Erwin,"May 6, 2024"
China’s Chang’e-6 is carrying a surprise rover to the moon,Andrew Jones,"May 6, 2024"
Starliner mission to be first crewed Atlas 5 flight,Jeff Foust,"May 6, 2024"
Russia may skip first operational Starliner mission,Jeff Foust,"May 5, 2024"
SpaceX reveals EVA suit design as Polaris Dawn mission approaches,Jeff Foust,"May 4, 2024"
Air Force project blends military and commercial space networks,Sandra Erwin,"May 3, 2024"
NASA awards studies for commercial Mars missions,Jeff Foust,"May 3, 2024"
China launches Chang’e-6 mission to collect first samples from the moon’s far side,Andrew Jones,"May 3, 2024"
Lockheed drops bid to acquire Terran Orbital,Jeff Foust,"May 2, 2024"
Space Force flexes muscle as Pentagon’s smallest but vital branch,Sandra Erwin,"May 2, 2024"
SpaceX launches Maxar’s first WorldView Legion imaging satellites,Sandra Erwin,"May 2, 2024"
L3Harris scores payload contract for Millennium’s Foo Fighter missile tracking satellites,Sandra Erwin,"May 2, 2024"
NASA inspector general report highlights issues with Orion heat shield,Jeff Foust,"May 2, 2024"
Nelson lobbies Congress to fund ISS deorbit vehicle in supplemental spending bill,Jeff Foust,"May 1, 2024"
Lawmaker presses Pentagon official on Russia’s potential space nuke,Sandra Erwin,"May 1, 2024"
BAE Systems wins $365 million contract to build geostationary weather instrument,Debra Werner,"May 1, 2024"
NRO’s first batch of next-generation spy satellites set for launch,Sandra Erwin,"May 1, 2024"
Astroscale to go public on Tokyo exchange,Jeff Foust,"May 1, 2024"
"SpaceNews Appoints Paige McCullough as President, Leading Global Expansion Efforts",SpaceNews Editor,"May 1, 2024"
Saltzman: Space Force still grappling with refueling math,Sandra Erwin,"April 30, 2024"
Millennium Space lands $414 million contract to build missile-tracking satellites,Sandra Erwin,"April 30, 2024"
Boeing-built O3b mPOWER satellites begin service,Debra Werner,"April 30, 2024"
Portal Space Systems unveils plans for highly maneuverable spacecraft,Jeff Foust,"April 30, 2024"
"Orbital congestion reaching critical levels, warns new report",Sandra Erwin,"April 30, 2024"
China’s Shenzhou-17 crew return to Earth,Andrew Jones,"April 30, 2024"
Airbus outlines plans for future high-resolution imaging satellites,Jeff Foust,"April 30, 2024"
China selects new space missions including lunar far side astronomy and terrestrial exoplanet survey,Andrew Jones,"April 30, 2024"
SES to acquire Intelsat for $3.1 billion,Jeff Foust,"April 30, 2024"
Kuva Space wins ESA hyperspectral contract,Debra Werner,"April 29, 2024"
NASA seeks input on space technology shortfalls,Jeff Foust,"April 29, 2024"
China ready to launch lunar far side sample return mission,Andrew Jones,"April 29, 2024"
Falcon 9 launches Galileo navigation satellites,Jeff Foust,"April 28, 2024"
SpaceX making progress on Starship in-space refueling technologies,Jeff Foust,"April 27, 2024"
Advisory committee recommends moving FAA commercial space office out of the agency,Jeff Foust,"April 27, 2024"
Space Force opens bidding for classified communications satellites,Sandra Erwin,"April 26, 2024"
Agile Space lands propulsion contract for U.S. Space Force mission,Sandra Erwin,"April 26, 2024"
Commercial space station module developer Gravitics wins Space Force contract,Jeff Foust,"April 26, 2024"
Starliner crewed test flight passes key review,Jeff Foust,"April 25, 2024"
Space startup True Anomaly cuts workforce,Sandra Erwin,"April 25, 2024"
China’s Shenzhou-18 crew arrive at Tiangong space station,Andrew Jones,"April 25, 2024"
Nicaragua signs up to China’s ILRS moon program,Andrew Jones,"April 25, 2024"
NASA planning September launch of Mars smallsat mission on first New Glenn,Jeff Foust,"April 25, 2024"
Russia vetoes U.N. resolution on nuclear weapons in space,Jeff Foust,"April 25, 2024"
"China on track for crewed moon landing by 2030, space official says",Andrew Jones,"April 24, 2024"
U.S. Space Force renews call for ‘reserve’ of commercial satellite providers,Sandra Erwin,"April 24, 2024"
Electron launches South Korean imaging satellite and NASA solar sail,Jeff Foust,"April 24, 2024"
Major changes approved for ClearSpace-1 mission,Debra Werner,"April 24, 2024"
Space Force to industry: Prove value of new commercial space services,Sandra Erwin,"April 23, 2024"
Companies offer proposals for Apophis asteroid missions,Jeff Foust,"April 23, 2024"
"China reorganizes its military, impacts likely for space operations",Andrew Jones,"April 23, 2024"
NASA continues work on response to biological and physical sciences decadal survey,Jeff Foust,"April 23, 2024"
PLD Space raises funding to expand facilities for Miura 5 rocket,Jeff Foust,"April 23, 2024"
Pentagon eases cloak of secrecy around space warfare training,Sandra Erwin,"April 22, 2024"
NASA confirms Dragonfly mission despite doubled costs,Jeff Foust,"April 22, 2024"
China launches second Yaogan-42 reconnaissance satellite,Andrew Jones,"April 22, 2024"
BlueHalo wins $24 million Air Force contract for research and analysis of satellite vulnerabilities,Sandra Erwin,"April 21, 2024"
Slovenia signs Artemis Accords,Jeff Foust,"April 20, 2024"
Orbex raises $20.8 million Series C extension,Jeff Foust,"April 19, 2024"
Astra considered bankruptcy as it struggled to raise cash,Jeff Foust,"April 19, 2024"
China to leverage growing commercial space sector to launch megaconstellations,Andrew Jones,"April 19, 2024"
Virgin Galactic proposes reverse stock split,Jeff Foust,"April 19, 2024"
Suppliers struggle as military embraces small satellites,Sandra Erwin,"April 18, 2024"
Canada extends MDA Space’s ISS robotics contract to 2030,Jason Rainbow,"April 18, 2024"
FAA to require reentry vehicles licensed before launch,Jeff Foust,"April 18, 2024"
Nelson defends “very tough choices” in NASA’s budget proposal,Jeff Foust,"April 18, 2024"
Astrobotic eyes military customers for reusable Xogdor suborbital rocket,Sandra Erwin,"April 17, 2024"
Space ISAC establishes LEO satellite operators group,Jeff Foust,"April 17, 2024"
CSIS releases annual assessment of global trends in the weaponization of space,Sandra Erwin,"April 17, 2024"
Satellite imaging company Iceye raises $93 million in latest funding round ,Sandra Erwin,"April 17, 2024"
NASA open to significantly reduced return of Mars samples,Jeff Foust,"April 17, 2024"
Sweden signs Artemis Accords,Jeff Foust,"April 17, 2024"
Starliner arrives at the pad for crewed test flight,Jeff Foust,"April 16, 2024"
DoD awards $14 million to 5N Plus to boost production of critical solar cell components for satellites,Sandra Erwin,"April 16, 2024"
Satellite veteran Mark Rigolle appointed CEO amid ABS upheaval ,Jason Rainbow,"April 16, 2024"
Air Force selects space programs for ‘quick start’ initiative,Sandra Erwin,"April 16, 2024"
Maxar Intelligence looks to evolve beyond traditional imagery business,Sandra Erwin,"April 16, 2024"
Switzerland signs Artemis Accords,Jeff Foust,"April 16, 2024"
Download the 2024 Space Symposium Daily,SpaceNews Editor,"April 16, 2024"
Unforgiving Failures: the challenges of upper stages,Jeff Foust,"April 16, 2024"
Can companies clean up by cleaning up space?,Jeff Foust,"April 16, 2024"
NASA to look for new options to carry out Mars Sample Return program,Jeff Foust,"April 15, 2024"
Smallsat maker Aerospacelab snaps up spacecraft optics specialist,Jason Rainbow,"April 15, 2024"
Space Force eyes faster satellite development with commercial tech,Sandra Erwin,"April 15, 2024"
China launches commercial SuperView-3 remote sensing sat,Andrew Jones,"April 15, 2024"
"EU to delay space law, constellation contract",Jeff Foust,"April 15, 2024"
NASA document outlines selection of lunar rover companies,Jeff Foust,"April 15, 2024"
Space Force acquisition command prioritizing speed and commercial partnerships,Sandra Erwin,"April 15, 2024"
Relativity Space wins $8.7 million U.S. Air Force contract for additive manufacturing research,Sandra Erwin,"April 14, 2024"
Astroscale’s ADRAS-J mission enters next phase,Jeff Foust,"April 12, 2024"
US government could help fund Intelsat’s MEO plans,Jason Rainbow,"April 12, 2024"
Office of Space Commerce selects locations for TraCSS operations centers,Jeff Foust,"April 12, 2024"
China’s Queqiao-2 relay satellite ready to support lunar far side sample mission,Andrew Jones,"April 12, 2024"
LeoLabs zeroes in on anomalies in satellite operations,Debra Werner,"April 11, 2024"
Muon Space banks on Space as a Service,Debra Werner,"April 11, 2024"
Space investors question the merits of vertical integration,Jason Rainbow,"April 11, 2024"
Vast to use Starlink for space station broadband communications,Jeff Foust,"April 11, 2024"
Banding together for direct-to-smartphone satellite services,Jason Rainbow,"April 11, 2024"
SpaceX launches U.S. military weather monitoring satellite,Sandra Erwin,"April 11, 2024"
"Rocket Lab, True Anomaly selected for Space Force ‘tactically responsive’ mission",Sandra Erwin,"April 11, 2024"
Japanese astronauts to land on moon as part of new NASA partnership,Jeff Foust,"April 11, 2024"
The digital revolution is finally coming to America’s space launch ranges,Sandra Erwin,"April 11, 2024"
SDA tests communications network with Norway,Debra Werner,"April 10, 2024"
Kepler partners up for ESA’s optical data relay constellation,Jason Rainbow,"April 10, 2024"
FAA: no current plans to tax commercial space launches,Jeff Foust,"April 10, 2024"
Pentagon research chief calls for commercial radiation-hardened electronics,Debra Werner,"April 10, 2024"
Small Astranis GEO broadband satellites are getting bigger,Jason Rainbow,"April 10, 2024"
Space Force unveils strategy to leverage commercial tech innovation,Sandra Erwin,"April 10, 2024"
U.S. government plans review of space technology export controls,Jeff Foust,"April 10, 2024"
ESA awards contract to Thales Alenia Space to restart ExoMars,Jeff Foust,"April 10, 2024"
L3Harris taps Mercury Systems to supply solid-state data recorders for missile-warning satellites,Debra Werner,"April 10, 2024"
Small satellites aim to fill big shoes for military weather data,Sandra Erwin,"April 10, 2024"
"Relativity Space delays NSSL bid, focuses on 2026 Terran R debut",Sandra Erwin,"April 10, 2024"
Investment banks take stock of evolving space finance challenges,Jason Rainbow,"April 9, 2024"
NASA rolls out new space sustainability strategy,Jeff Foust,"April 9, 2024"
Astrobotic and Mission Control to partner on lunar rover mission,Jeff Foust,"April 9, 2024"
The outside perspective | SES Q&A,Jason Rainbow,"April 9, 2024"
NRO eyes diverse satellite fleet and AI-powered ground systems in modernization push,Sandra Erwin,"April 9, 2024"
Planet unveils platform to merge data with analytics,Debra Werner,"April 9, 2024"
Space Force budget inches upward in tight fiscal year,Sandra Erwin,"April 9, 2024"
U.S. Space Command adopts multipronged approach to prepare for ‘a conflict that has never happened’,Debra Werner,"April 9, 2024"
End of an era: Delta 4 Heavy soars one last time,Sandra Erwin,"April 9, 2024"
SpaceWERX initiative lends startups a crucial hand in tech validation,Sandra Erwin,"April 9, 2024"
Max Space announces plans for inflatable space station modules,Jeff Foust,"April 9, 2024"
Rocket Lab wins $14.4 million contract to launch Space Test Program experiment,Sandra Erwin,"April 8, 2024"
Budget woes just a blip for unstoppable space industry growth,Jason Rainbow,"April 8, 2024"
Office of Space Commerce calls for international cooperation in space situational awareness,Debra Werner,"April 8, 2024"
‘State of the Space Industrial Base’ highlights supply chain and workforce challenges,Sandra Erwin,"April 8, 2024"
"SAIC lands Pentagon contract for AI-powered small satellite, partnering with GomSpace",Sandra Erwin,"April 8, 2024"
Pentagon ramps up investments in solid rocket motor suppliers to bolster domestic industry,Sandra Erwin,"April 8, 2024"
Spire deploying space traffic management tools across fleet,Jason Rainbow,"April 8, 2024"
Spacebilt and Phison to send powerful data server to ISS,Debra Werner,"April 8, 2024"
Space Symposium 2024,SpaceNews Editor,"April 8, 2024"
SpaceX launches first mid-inclination dedicated rideshare mission,Jeff Foust,"April 7, 2024"
Musk outlines plans to increase Starship launch rate and performance,Jeff Foust,"April 6, 2024"
European space consultancies merge to form Novaspace,Jason Rainbow,"April 5, 2024"
Evolving role of space policy in national security: From “hobby shop” to center stage,Sandra Erwin,"April 5, 2024"
Varda Space Industries raises $90 million,Jeff Foust,"April 5, 2024"
Thailand joins China-led ILRS moon base initiative,Andrew Jones,"April 5, 2024"
Virgin Galactic countersues Boeing about mothership project,Jeff Foust,"April 5, 2024"
Blue Origin to resume crewed New Shepard flights,Jeff Foust,"April 5, 2024"
Mitsubishi takes stake in Starlab Space,Jeff Foust,"April 5, 2024"
Kratos demonstrates satellite internet tech for U.S. Army,Sandra Erwin,"April 4, 2024"
Hydrosat wins NOAA contract,Debra Werner,"April 4, 2024"
Scout Space eyes military customers for space domain awareness sensor,Sandra Erwin,"April 4, 2024"
NASA selects three companies to advance Artemis lunar rover designs,Jeff Foust,"April 3, 2024"
Orbital Sidekick shares first-light imagery,Debra Werner,"April 3, 2024"
China launches first of a new series of Yaogan reconnaissance satellites,Andrew Jones,"April 3, 2024"
White House directs NASA to develop lunar time standard,Jeff Foust,"April 2, 2024"
Latest satellite production delay sends AST SpaceMobile stock plummeting,Jason Rainbow,"April 2, 2024"
Pentagon unveils strategy to harness commercial space tech for national security,Sandra Erwin,"April 2, 2024"
"Russia, China catching up to U.S. in space weaponry, new report finds",Sandra Erwin,"April 2, 2024"
Lockheed Martin Ventures invests in Helicity Space,Debra Werner,"April 2, 2024"
Terran Orbital records higher revenues as strategic review continues,Jeff Foust,"April 2, 2024"
Canada increases Telesat Lightspeed investment,Jason Rainbow,"April 1, 2024"
Satellite terminal supplier CopaSAT storms into military market,Sandra Erwin,"April 1, 2024"
Parsons to be system integrator for TraCSS space traffic coordination system,Jeff Foust,"April 1, 2024"
"SpaceX launches Eutelsat 36D, lands booster on seventh reuse anniversary",Jason Rainbow,"March 31, 2024"
SKY Perfect JSAT hunting for more early-stage space opportunities,Jason Rainbow,"March 29, 2024"
Senate bills seek to reform commercial space regulations,Jeff Foust,"March 29, 2024"
Defense policy chief John Plumb to step down in May,Sandra Erwin,"March 29, 2024"
Boeing’s satellite business zeroes in on military opportunities,Sandra Erwin,"March 29, 2024"
Planet reveals $20 million Carbon Mapper contract,Debra Werner,"March 28, 2024"
Satellite firms cautiously optimistic as DoD boosts funding to integrate commercial satcom,Sandra Erwin,"March 28, 2024"
China appears to be trying to save stricken spacecraft from lunar limbo,Andrew Jones,"March 28, 2024"
Japanese lunar lander company ispace raises $53.5 million in stock sale,Jeff Foust,"March 28, 2024"
Hancom InSpace orders more Spire satellites with Hancom-2 in limbo,Jason Rainbow,"March 28, 2024"
JAXA selects Interstellar Technologies as priority launch provider,Andrew Jones,"March 28, 2024"
Vast Space hires former Voyager Space executive,Jeff Foust,"March 28, 2024"
ESA and ISRO explore increased cooperation,Jeff Foust,"March 28, 2024"
"China adds new moon base project partners, but struggles to attract national-level participation",Andrew Jones,"March 28, 2024"
"Space Force chief: U.S. intelligence is top-notch, but more insights needed on space domain",Sandra Erwin,"March 27, 2024"
NASA optimistic about resolving Voyager 1 computer problem,Jeff Foust,"March 27, 2024"
On-orbit servicing mission planned for military satellite in 2025,Sandra Erwin,"March 27, 2024"
Long March 6A launches second Yunhai-3 satellite,Andrew Jones,"March 27, 2024"
In Orbit Aerospace wins $1.8 million AFWERX contract,Debra Werner,"March 26, 2024"
Astrobotic hires space industry veterans to help with Griffin lander,Jeff Foust,"March 26, 2024"
Chinese scientists call for focus on asteroid missions,Andrew Jones,"March 26, 2024"
Boeing sues Virgin Galactic over mothership project,Jeff Foust,"March 26, 2024"
Ingersoll Rand to acquire ILC Dover,Jeff Foust,"March 26, 2024"
ExLabs plans mission to rendezvous with asteroid Apophis ,Debra Werner,"March 25, 2024"
"Space Force, Space Command seek over $2 billion for unfunded programs to counter anti-satellite threats",Sandra Erwin,"March 25, 2024"
Apex commissions first payload on inaugural mission,Jeff Foust,"March 25, 2024"
"Defense, military, intelligence agencies, all have a hand in U.S. space acquisitions",Sandra Erwin,"March 25, 2024"
UK Space Agency moving HQ to Harwell space cluster,Jason Rainbow,"March 25, 2024"
"Aerospace Corp. moves headquarters to D.C., cites need for proximity to decision makers",Sandra Erwin,"March 25, 2024"
MSR highlights challenges of NASA flagship missions,Jeff Foust,"March 25, 2024"
China’s Queqiao-2 relay satellite enters lunar orbit,Andrew Jones,"March 25, 2024"
Antenna work delays NISAR launch,Jeff Foust,"March 24, 2024"
Astronomers and megaconstellations learn to get along,Jeff Foust,"March 23, 2024"
Private satellite operators make case for helping military track ground targets,Sandra Erwin,"March 23, 2024"
Soyuz launches to station after scrub,Jeff Foust,"March 23, 2024"
AT&T underlines support for realizing direct-to-smartphone satellite service,Jason Rainbow,"March 22, 2024"
NASA and Boeing prepare for Starliner crewed test flight in May,Jeff Foust,"March 22, 2024"
China’s military is taking a strategic approach to on-orbit refueling,Andrew Jones,"March 22, 2024"
Intuitive Machines on firmer footing after lunar landing,Jeff Foust,"March 22, 2024"
Cargo Dragon launches to space station hours after Soyuz scrub,Jeff Foust,"March 21, 2024"
Subsea internet cable issues lift Rivada Space Networks ,Jason Rainbow,"March 21, 2024"
Lawmakers cut $1 billion from Space Force’s 2024 budget request,Sandra Erwin,"March 21, 2024"
U.S. military to boost surveillance assets in orbit,Sandra Erwin,"March 21, 2024"
DoD innovation unit to assess Firefly vehicle for missions beyond Earth orbit,Sandra Erwin,"March 21, 2024"
Hanwha Phasor aims to release debut multi-orbit terminal this summer,Jason Rainbow,"March 21, 2024"
Webinar Replay: Direct to Device Satellite Services,SpaceNews Editor,"March 21, 2024"
Starship could have a big impact on small launch vehicles,Jeff Foust,"March 21, 2024"
Electron launches NRO mission from Wallops,Jeff Foust,"March 21, 2024"
China launches second batch of Yunhai-2 satellites,Andrew Jones,"March 21, 2024"
National Reconnaissance Office seeking industry innovations in space launch,Sandra Erwin,"March 21, 2024"
Astronomers criticize proposed space telescope budget cuts,Jeff Foust,"March 21, 2024"
House advances four space-related bills,Jeff Foust,"March 21, 2024"
Defense Innovation Unit awards three contracts for space logistics technologies,Sandra Erwin,"March 20, 2024"
Capella Space sets sights on international market for radar satellites,Sandra Erwin,"March 20, 2024"
Launch providers look for competitive advantages in era of transition,Jeff Foust,"March 20, 2024"
Swissto12 expanding small GEO satellite production facilities,Jason Rainbow,"March 20, 2024"
Lockheed Martin eyes growth in satellite business through partnerships,Sandra Erwin,"March 20, 2024"
ESA awards three contracts for satellite navigation missions,Jeff Foust,"March 20, 2024"
Intelsat expands OneWeb LEO partnership,Jason Rainbow,"March 19, 2024"
China launches Queqiao-2 relay satellite to support moon missions,Andrew Jones,"March 19, 2024"
Neuraspace starts free space traffic management service,Jason Rainbow,"March 19, 2024"
Pentagon’s innovation unit steps up role in Space Force’s responsive launch program,Sandra Erwin,"March 19, 2024"
SpaceX planning rapid turnaround for next Starship flight,Jeff Foust,"March 19, 2024"
Carbon fiber specialist Blackwave raises $6.6 million behind line of ready-to-ship satellite tanks,Debra Werner,"March 19, 2024"
Loft Orbital and SkyServe partner on AI-powered Earth observation application,Jeff Foust,"March 19, 2024"
Orbit Fab reveals price tag for its satellite refueling ports,Sandra Erwin,"March 19, 2024"
Benchmark Space Systems flies first electric thruster,Jeff Foust,"March 19, 2024"
Kayhan Space offers space traffic coordination system for universities,Jeff Foust,"March 19, 2024"
Raytheon’s satellite contract with Space Development Agency being ‘reevaluated’,Sandra Erwin,"March 19, 2024"
Aerospacelab to build Xona Space’s first navigation satellite,Sandra Erwin,"March 19, 2024"
GEO operators look to local service providers to compete against Starlink,Jason Rainbow,"March 18, 2024"
Webinar Replay: SDA Director Derek Tournear,SpaceNews Editor,"March 18, 2024"
Startical orders test satellites for air traffic surveillance and comms constellation,Jason Rainbow,"March 18, 2024"
Satellite manufacturers defend diminished GEO market,Jeff Foust,"March 18, 2024"
Orbith orders small Astranis GEO broadband satellite for Argentina,Jason Rainbow,"March 18, 2024"
National Reconnaissance Office embracing mix of big and small satellites,Sandra Erwin,"March 18, 2024"
Aerospace Corp. and Space Foundation announce partnership on workforce initiative,Sandra Erwin,"March 18, 2024"
Maxar eyes spring launch of long-delayed WorldView Legion satellites,Sandra Erwin,"March 18, 2024"
China rolls out rocket for Queqiao-2 lunar satellite launch,Andrew Jones,"March 18, 2024"
Turion Space closing in on initial SSA service from first satellite,Jason Rainbow,"March 17, 2024"
Peregrine payloads returned useful data despite no lunar landing,Jeff Foust,"March 16, 2024"
Mars Sample Return science continues amid budget uncertainty,Jeff Foust,"March 15, 2024"
Redwire looks to larger deals and new markets to fuel growth,Jeff Foust,"March 15, 2024"
